player,player_id,pass_angle,pass_length,under_pressure,pass_cross,pass_cut_back,pass_inswinging,pass_outswinging,pass_through_ball,pass_switch,pass_normal,location_x,location_y,pass_end_location_x,pass_end_location_y,play_pattern_from_corner,play_pattern_from_counter,play_pattern_from_free_kick,play_pattern_from_goal_kick,play_pattern_from_keeper,play_pattern_from_kick_off,play_pattern_from_throw_in,play_pattern_regular_play,pass_body_part_left_foot,pass_body_part_right_foot,pass_height_ground_pass,pass_height_high_pass,pass_height_low_pass,pass_completed
Francesc Fàbregas i Soler,3478,1.5707964,4.8,0,0,0,0,0,0,0,1,90.8,52.3,90.8,57.1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Willian Borges da Silva,3472,-2.741352,8.469357,0,0,0,0,0,0,0,1,90.8,57.1,83.0,53.8,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Nemanja Matić,3381,0.30351046,19.071707,0,0,0,0,0,0,0,1,85.9,47.4,104.1,53.1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Willian Borges da Silva,3472,0.7684506,12.517588,0,0,0,0,0,0,0,1,97.2,49.6,106.2,58.3,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Francesc Fàbregas i Soler,3478,-0.13158815,13.7186,0,0,0,0,0,0,0,1,106.4,58.1,120.0,56.3,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Branislav Ivanović,5594,-0.3548354,26.767517,0,0,0,0,0,0,0,1,41.6,80.0,66.7,70.7,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Willian Borges da Silva,3472,-2.8217182,16.854969,0,0,0,0,0,0,0,1,97.6,80.0,81.6,74.7,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Branislav Ivanović,5594,-2.8774705,32.942375,0,0,0,0,0,0,0,1,81.0,74.7,49.2,66.1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Kurt Happy Zouma,3456,-1.8622531,22.968674,0,0,0,0,0,0,0,1,50.5,59.0,43.9,37.0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Gary Cahill,3645,-1.4092216,22.999565,0,0,0,0,0,0,0,1,50.8,25.9,54.5,3.2,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Abdul Rahman Baba,12325,2.7763913,40.040604,0,0,0,0,0,0,0,1,47.6,5.8,10.2,20.1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Thibaut Courtois,3509,0.012597758,63.50504,0,0,0,0,0,0,0,1,11.7,18.7,75.2,19.5,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Thibaut Courtois,3509,0.20121963,61.541695,0,0,0,0,0,0,0,1,6.0,44.0,66.3,56.3,0,0,0,1,0,0,0,0,1,0,0,1,0,0
Willian Borges da Silva,3472,-1.6621168,27.41423,0,0,0,0,0,0,0,1,77.8,36.2,75.3,8.9,0,0,0,1,0,0,0,0,0,1,0,0,1,1
Eden Hazard,3621,1.1610384,10.793516,0,0,0,0,0,0,0,1,93.4,5.6,97.7,15.5,0,0,0,1,0,0,0,0,1,0,1,0,0,1
Willian Borges da Silva,3472,-0.85425466,16.443844,0,0,0,0,0,0,0,1,97.7,15.5,108.5,3.1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
